OID_,OBJECTID,FID,LSOA21CD,LSOA21NM,LONG,LAT,crime COUNT
451,464,31262,E01033010,Leeds 111B,-1.54188,53.7999,245
462,465,31263,E01033011,Leeds 111C,-1.53507,53.7965,160
97,99,10818,E01011369,Leeds 090E,-1.57662,53.77696,100
461,463,31261,E01033008,Leeds 111A,-1.55386,53.79961,99
449,468,31266,E01033016,Leeds 111E,-1.54418,53.79044,98
237,247,10966,E01011531,Leeds 093D,-1.5842,53.75553,89
354,368,11087,E01011661,Leeds 035D,-1.45927,53.82106,88
167,161,10880,E01011433,Leeds 053C,-1.51143,53.80912,81
254,256,10975,E01011541,Leeds 104B,-1.6015,53.74329,74
77,95,10814,E01011363,Leeds 071E,-1.56962,53.79456,73
8,18,10737,E01011281,Leeds 059A,-1.60521,53.80999,67
274,297,11016,E01011587,Leeds 062B,-1.66556,53.80291,67
469,473,31280,E01033035,Leeds 064F,-1.5246,53.80335,66
25,44,10763,E01011312,Leeds 086A,-1.54749,53.77359,57
109,101,10820,E01011371,Leeds 085B,-1.5447,53.7789,56
75,96,10815,E01011364,Leeds 085A,-1.54518,53.78377,55
84,76,10795,E01011344,Leeds 065A,-1.50746,53.80757,53
179,191,10910,E01011467,Leeds 112A,-1.53086,53.7817,53
213,212,10931,E01011491,Leeds 101A,-1.5563,53.74798,53
395,381,11100,E01011678,Leeds 063B,-1.56195,53.80134,53
473,482,33043,E01035048,Leeds 099G,-1.53171,53.74881,53
41,25,10744,E01011293,Leeds 071C,-1.58608,53.79718,52
222,208,10927,E01011484,Leeds 033A,-1.61068,53.83102,52
341,331,11050,E01011622,Leeds 072C,-1.48906,53.79735,51
31,26,10745,E01011294,Leeds 071D,-1.579,53.7947,50
64,68,10787,E01011336,Leeds 058C,-1.62761,53.80845,50
269,254,10973,E01011538,Leeds 107B,-1.5587,53.73409,50
319,321,11040,E01011611,Leeds 068D,-1.6423,53.79968,48
71,73,10792,E01011341,Leeds 061A,-1.47474,53.80309,47
98,93,10812,E01011361,Leeds 042E,-1.5312,53.81555,47
322,322,11041,E01011612,Leeds 079E,-1.66198,53.79652,47
335,335,11054,E01011626,Leeds 075D,-1.5219,53.79037,47
446,434,11153,E01011735,Leeds 078D,-1.61294,53.78538,47
82,94,10813,E01011362,Leeds 081A,-1.58095,53.78852,46
48,48,10767,E01011316,Leeds 086B,-1.55138,53.76998,44
381,379,11098,E01011673,Leeds 064B,-1.52608,53.80982,44
93,97,10816,E01011366,Leeds 082A,-1.5668,53.78294,43
120,102,10821,E01011372,Leeds 086C,-1.54781,53.77708,42
429,448,30846,E01032497,Leeds 099E,-1.542,53.75906,42
74,50,10769,E01011318,Leeds 090C,-1.58415,53.77336,41
397,382,11101,E01011681,Leeds 063D,-1.56802,53.80446,41
88,79,10798,E01011347,Leeds 065B,-1.50789,53.80414,40
158,162,10881,E01011434,Leeds 053D,-1.51455,53.81164,40
164,156,10875,E01011428,Leeds 048C,-1.51676,53.81489,40
186,192,10911,E01011468,Leeds 112B,-1.51532,53.77587,40
220,215,10934,E01011494,Leeds 101D,-1.54488,53.74502,40
428,428,11147,E01011729,Leeds 078B,-1.60183,53.79369,40
452,457,30947,E01032607,Leeds 067J,-1.59753,53.79577,40
460,470,31277,E01033031,Leeds 064E,-1.52866,53.80726,40
258,258,10977,E01011546,Leeds 106C,-1.61176,53.73396,39
442,425,11144,E01011726,Leeds 080A,-1.6254,53.78766,39
22,21,10740,E01011284,Leeds 071A,-1.58747,53.80293,38
180,195,10914,E01011471,Leeds 092A,-1.53446,53.77016,38
205,206,10925,E01011482,Leeds 056D,-1.58521,53.80697,38
52,54,10773,E01011322,Leeds 091E,-1.5461,53.76605,37
90,84,10803,E01011352,Leeds 034C,-1.53737,53.82616,37
257,271,10990,E01011559,Leeds 018C,-1.55292,53.84762,37
402,403,11122,E01011704,Leeds 002C,-1.36973,53.92584,37
417,424,11143,E01011725,Leeds 078A,-1.61382,53.79539,37
21,2,10721,E01011265,Leeds 009A,-1.71269,53.87343,36
126,148,10867,E01011420,Leeds 069E,-1.45802,53.77998,36
194,199,10918,E01011475,Leeds 094C,-1.52958,53.75787,36
69,71,10790,E01011339,Leeds 060A,-1.48528,53.81179,35
95,80,10799,E01011348,Leeds 065C,-1.50803,53.80154,35
356,369,11088,E01011662,Leeds 040E,-1.47581,53.81885,35
463,461,31259,E01033002,Leeds 055F,-1.53981,53.80405,35
91,86,10805,E01011354,Leeds 038A,-1.55477,53.8278,34
200,217,10936,E01011497,Leeds 101E,-1.55026,53.74289,34
358,364,11083,E01011657,Leeds 035B,-1.46789,53.83016,34
376,380,11099,E01011677,Leeds 064D,-1.51861,53.80725,34
437,449,30847,E01032498,Leeds 099F,-1.55051,53.75225,34
454,456,30946,E01032606,Leeds 067I,-1.62112,53.80297,34
